Sweet Name,State of Origin,Region,Main Ingredients,Category,Occasion,GI Tagged,Description
Rasgulla,West Bengal,Bengal,Chhena / Sugar Syrup,Syrup-based,Festivals / Everyday,Yes (West Bengal),Soft spongy cottage cheese balls soaked in light sugar syrup
Sandesh,West Bengal,Bengal,Chhena / Sugar / Flavourings,Dry / Semi-dry,Pujas / Gifting,No,Delicate pressed chhena sweet; varieties include nolen gurer sandesh
Mihidana,West Bengal,Bardhaman,Besan / Sugar Syrup / Saffron,Syrup-based,Festivals,Yes,Fine saffron-coloured besan pearls; paired with Sitabhog
Sitabhog,West Bengal,Bardhaman,Rice Flour / Milk / Ghee,Dry,Festivals,Yes,Fine vermicelli-like sweet made from rice flour
Pantua,West Bengal,Bengal,Chhena / Khoya / Ghee / Sugar,Fried / Syrup-based,Everyday / Festivals,No,Bengalis' version of Gulab Jamun; darker and denser
Jalebi,Pan-Indian (origin Madhya Pradesh),Central India,Maida / Curd / Sugar Syrup,Fried / Syrup-based,Everyday / Festivals,No,Crispy fermented batter swirls soaked in saffron sugar syrup
Gulab Jamun,Pan-Indian,North India,Khoya / Maida / Sugar Syrup / Rose Water,Fried / Syrup-based,Weddings / Festivals,No,Soft milk-solid dumplings in rose-flavoured sugar syrup
Ladoo (Boondi),Pan-Indian,North India,Besan / Sugar / Ghee / Cardamom,Dry / Ball-shaped,Prasad / Festivals,No,Golden besan droplets bound into balls with ghee and sugar
Ladoo (Motichoor),Rajasthan / Uttar Pradesh,North India,Besan / Ghee / Sugar / Pistachio,Dry / Ball-shaped,Weddings / Prasad,No,Fine-grain boondi bound tightly; smoother texture than boondi laddoo
Ladoo (Rava),Karnataka / Andhra / Tamil Nadu,South India,Semolina / Ghee / Sugar / Coconut,Dry / Ball-shaped,Festivals / Prasad,No,Roasted semolina balls with cashews and raisins
Halwa (Gajar),Uttar Pradesh / Delhi,North India,Carrots / Milk / Sugar / Ghee / Khoya,Cooked / Moist,Winter / Weddings,No,Slow-cooked carrot pudding with khoya and nuts
Halwa (Sooji),Pan-Indian,North India,Semolina / Ghee / Sugar / Saffron,Cooked / Moist,Prasad / Festivals,No,Quick semolina pudding with ghee; served warm
