Task ID,Module,Module Name,Task Name,Description,Files Involved,Dependencies,Parallelizable,Status,Created At,Started At,Completed At,Notes
1.1,1,Core Spreadsheet Grid,Base Grid Component,"Render scrollable table with fixed row-number column and column-letter headers (A/B/C...). Frozen corner cell. Empty-state hint in status bar.","app/components/SpreadsheetGrid.tsx, app/components/CsvViewer.tsx, app/globals.css",None,Yes,To Do,2026-04-13,,,
2.1,2,CSV Upload & Parsing,CSV Parser Library,"Pure TypeScript parser: configurable delimiter (comma/pipe/space), RFC 4180 quoted fields, escaped quotes, blank lines. Returns { rows, errors }.","lib/csvParser.ts",None,Yes,To Do,2026-04-13,,,
2.2,2,CSV Upload & Parsing,Upload Modal UI,"Modal overlay with drag-and-drop zone (.csv only), native file input, paste textarea (Ctrl+V), and parse-error list with line numbers.","app/components/UploadModal.tsx, app/components/CsvViewer.tsx","Task 2.1, Task 1.1",No,To Do,2026-04-13,,,
3.1,3,Header Row & Sorting,Frozen Header Row Toggle,"First row as header toggle. Row 1 renders as sticky thead with teal highlight. Column-letter labels replaced by actual header text.","app/components/SpreadsheetGrid.tsx, app/components/Toolbar.tsx",Task 1.1,No,To Do,2026-04-13,,,
3.2,3,Header Row & Sorting,Column Sort,"Sort icon in each column header cycling none->asc->desc->none. Auto-detects numeric vs text. Shows sort state in status bar.","app/components/SpreadsheetGrid.tsx, lib/sortUtils.ts",Task 3.1,Yes,To Do,2026-04-13,,,
4.1,4,Column Filters,Filter Dropdown,"Funnel icon opens dropdown: checkbox list of unique values (searchable when >=5 items) or operator+value for numeric columns. Active filters shown in status bar.","app/components/FilterDropdown.tsx, app/components/SpreadsheetGrid.tsx",Task 3.1,Yes,To Do,2026-04-13,,,
5.1,5,Cell Selection,Range Selection,"Mouse-down sets anchor; drag extends selection; mouse-up finalises. Column-letter header selects whole column. Row-number gutter selects whole row. Selection highlighted blue.","app/components/SpreadsheetGrid.tsx",Task 1.1,Yes,To Do,2026-04-13,,,
6.1,6,Aggregations Bar,Aggregations Status Bar,"When 2+ numeric cells selected show Sum/Avg/Min/Max in status bar. Hides when no numeric cells are selected.","app/components/AggregationBar.tsx, app/components/SpreadsheetGrid.tsx",Task 5.1,No,To Do,2026-04-13,,,
7.1,7,Cell Editing,Inline Cell Editor,"Double-click or Enter enters edit mode. Textarea pre-filled with value. Shift+Enter adds newline; Enter commits and moves down; Tab commits and moves right; Escape discards. Cell auto-grows height.","app/components/SpreadsheetGrid.tsx","Task 1.1, Task 5.1",No,To Do,2026-04-13,,,
8.1,8,Row & Column Management,Add/Delete Rows,"Hover over row-number gutter shows + (insert above) and x (delete) as absolutely positioned overlays. Updates data array in place.","app/components/SpreadsheetGrid.tsx",Task 1.1,Yes,To Do,2026-04-13,,,
8.2,8,Row & Column Management,Add/Delete Columns,"Hover over column-letter header shows + (insert left) and x (delete) overlay buttons. Same pattern as Task 8.1.","app/components/SpreadsheetGrid.tsx",Task 1.1,Yes,To Do,2026-04-13,,,
9.1,9,Download Modal,Download Modal & CSV Exporter,"Modal with filename input; Full CSV vs Selected range radio; Cancel and Download buttons. Serialises data to CSV with active delimiter and triggers browser download.","app/components/DownloadModal.tsx, lib/csvExporter.ts, app/components/CsvViewer.tsx","Task 5.1, Task 2.1",No,To Do,2026-04-13,,,
10.1,10,Toolbar & Persistence,Toolbar Component,"Top toolbar: Download button; Clear All button; Delimiter dropdown (Comma/Pipe/Space); First-row-as-header checkbox. Replaces ad-hoc buttons in CsvViewer.","app/components/Toolbar.tsx, app/components/CsvViewer.tsx",All previous modules,No,To Do,2026-04-13,,,
10.2,10,Toolbar & Persistence,localStorage Persistence,"Auto-save raw CSV string plus delimiter/header/sort/filter state to localStorage on every change. Restore all state on page load. Show autosave hint in status bar.","lib/persistence.ts, app/components/CsvViewer.tsx",Task 10.1,No,To Do,2026-04-13,,,
