Spice,Scientific Name,Origin,Primary Producing Countries,Plant Part Used,Scoville Heat Units (SHU),Flavour Profile,Primary Culinary Uses,Medicinal / Other Uses
Black Pepper,Piper nigrum,South India (Kerala),India / Vietnam / Indonesia / Brazil,Dried berry (peppercorn),Trace,Pungent / Sharp / Earthy,Universal seasoning / Marinades / Sauces,Digestive aid / Anti-inflammatory
White Pepper,Piper nigrum,South India / Indonesia,Vietnam / Indonesia / Brazil,Ripe berry (husk removed),Trace,Milder / Musty / Less pungent,White sauces / Chinese cuisine / Soups,Similar to black pepper; less aromatic
Green Pepper,Piper nigrum,South India,India / Madagascar / Brazil,Unripe fresh/pickled berry,Trace,Fresh / Mild / Grassy,Creamy French sauces / Steak / Thai curries,Antioxidant
Long Pepper,Piper longum,India,India / Indonesia / Southeast Asia,Dried catkin spike,Trace,Hotter than black pepper / Sweeter / Complex,Indian Ayurvedic cooking / Medieval spice trade,Ayurvedic tonic / Respiratory support
Chilli (Cayenne),Capsicum annuum,Americas (Mexico),India / China / Thailand / Mexico,Dried fruit,30000–50000,Hot / Bright / Slightly fruity,Curries / Salsas / Hot sauces / Rubs,Pain relief (capsaicin) / Metabolism boost
Chilli (Bird's Eye),Capsicum frutescens,Americas,Thailand / India / Southeast Asia,Fresh / Dried fruit,50000–100000,Very hot / Sharp,Thai / Vietnamese / Caribbean cooking,High capsaicin content
Kashmiri Chilli,Capsicum annuum,India (Kashmir),India (Kashmir / Rajasthan),Dried fruit,1000–2000,Mild / Fruity / Deep red colour,Tandoori / Rogan Josh / Colour agent,GI Tagged; natural colourant
Bhut Jolokia (Ghost Pepper),Capsicum chinense x frutescens,India (Assam / Nagaland),India (Northeast),Dried fruit,855000–1041427,Extremely hot / Fruity / Slow burn,North-east Indian chutney / Extreme cuisine,GI Tagged; used in military pepper spray
Cumin,Cuminum cyminum,Middle East / South Asia,India / Iran / Turkey / China,Dried seed,0 (non-chilli),Warm / Earthy / Nutty / Slightly bitter,Indian curries / Mexican food / Bread / Soups,Digestive / Antioxidant / Iron-rich
Coriander (Seed),Coriandrum sativum,Mediterranean / Middle East,India / Russia / Morocco / Canada,Dried seed,0,Citrusy / Warm / Slightly sweet,Curries / Pickling / Breads / Sausages,Digestive / Anti-inflammatory
Turmeric,Curcuma longa,South Asia (India),India / Bangladesh / China / Myanmar,Dried rhizome,0,Earthy / Bitter / Peppery / Musky,Curries / Rice / Dairy / Beverages / Natural colourant,Anti-inflammatory (curcumin) / Immune support
Cardamom (Green),Elettaria cardamomum,South India (Western Ghats),India (Kerala) / Guatemala / Sri Lanka,Dried seed pods,0,Sweet / Floral / Eucalyptus / Spicy,Tea / Desserts / Biryani / Coffee / Chai,Digestive / Breath freshener; called "Queen of Spices"
Black Cardamom,Amomum subulatum,Eastern Himalayas,India / Nepal / Bhutan,Dried large pods (smoked),0,Smoky / Camphor / Menthol,Biryani / Meat dishes / Garam Masala,Digestive / Respiratory
Cinnamon (Ceylon),Cinnamomum verum,Sri Lanka,Sri Lanka / Mexico / Madagascar,Inner bark (rolled into quills),0,Sweet / Delicate / Floral / Vanilla-like,Desserts / Oatmeal / Tea / Curries / Baking,Blood sugar regulation / Anti-inflammatory
Cassia (Chinese Cinnamon),Cinnamomum cassia,South China,China / Vietnam / Indonesia,Thick bark,0,Stronger / Spicier / Slightly bitter,Same as cinnamon; more pungent; often sold as "cinnamon",Similar to cinnamon
Cloves,Syzygium aromaticum,Indonesia (Maluku Islands),Indonesia / Tanzania / Madagascar / Sri Lanka,Dried flower bud,0,Intensely warm / Sweet / Pungent,Garam masala / Baking / Pickles / Mulled wine,Eugenol: dental pain relief / Anti-microbial
Nutmeg,Myristica fragrans,Indonesia (Banda Islands),Indonesia / Grenada / Sri Lanka,Seed kernel,0,Warm / Sweet / Slightly woody / Musky,Béchamel / Custards / Garam Masala / Eggnog,Sedative in large doses; anti-nausea
Mace,Myristica fragrans,Indonesia,Indonesia / Grenada,Dried seed covering (aril),0,Similar to nutmeg but lighter / More floral,Lighter spiced sauces / Seafood / Cakes,Anti-inflammatory; similar to nutmeg
Star Anise,Illicium verum,China (Guangxi),China / Vietnam,Dried star-shaped fruit,0,Intensely anise / Licorice / Sweet,Chinese 5-spice / Vietnamese Pho / Pastis,Shikimic acid source (Tamiflu precursor)
Fennel Seeds,Foeniculum vulgare,Mediterranean,India / Egypt / China / Turkey,Dried seeds,0,Sweet / Anise / Herbal / Cool,Italian sausages / Indian mouth freshener / Bread / Fish,Digestive / Estrogenic properties
