Rank,Building,City,Country,Height (m),Floors,Year Completed,Current Use,Architectural Style
1,Burj Khalifa,Dubai,UAE,828,163,2010,Mixed (Office / Residential / Hotel),Neo-futurism
2,Merdeka 118,Kuala Lumpur,Malaysia,678.9,118,2023,Mixed (Office / Hotel / Retail),Contemporary
3,Shanghai Tower,Shanghai,China,632,128,2015,Mixed (Office / Hotel),Modernist
4,Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601,120,2012,Hotel / Residential,Islamic Modern
5,Ping An Finance Centre,Shenzhen,China,599,115,2017,Office,Modernist
6,Lotte World Tower,Seoul,South Korea,555,123,2017,Mixed,Modernist
7,One World Trade Center,New York,USA,541.3,94,2014,Office,Modernist
8,Guangzhou CTF Finance Centre,Guangzhou,China,530,111,2016,Mixed,Modernist
9,Tianjin CTF Finance Centre,Tianjin,China,530,97,2019,Mixed,Modernist
10,CITIC Tower,Beijing,China,528,109,2018,Office,Modernist
11,Tianjin Chow Tai Fook Binhai Center,Tianjin,China,530,97,2019,Mixed,Modernist
12,Wuhan Greenland Center,Wuhan,China,475,100,2019,Mixed,Modernist
13,432 Park Avenue,New York,USA,426,96,2015,Residential,Modernist
14,Marina 101,Dubai,UAE,425,101,2017,Mixed (Hotel / Residential),Contemporary
15,Trump International Hotel & Tower,Chicago,USA,423,98,2009,Hotel / Residential,Modernist
16,Jin Mao Tower,Shanghai,China,421,88,1999,Mixed,Postmodern
17,Two International Finance Centre,Hong Kong,China,415,88,2003,Office,High-tech
18,Landmark 81,Ho Chi Minh City,Vietnam,461.2,81,2018,Mixed,Contemporary
19,Guangzhou International Finance Centre,Guangzhou,China,440,103,2010,Office / Hotel,Modernist
20,Burj Mohammed Bin Rashid,Abu Dhabi,UAE,381,88,2014,Office / Hotel,Contemporary
21,Empire State Building,New York,USA,381,102,1931,Office,Art Deco
22,The Shard,London,UK,309.6,72,2012,Mixed,Contemporary
23,Petronas Twin Towers,Kuala Lumpur,Malaysia,451.9,88,1998,Office,Postmodern Islamic
24,Taipei 101,Taipei,Taiwan,508,101,2004,Office,Postmodern
25,Willis Tower,Chicago,USA,442,108,1973,Office,Modernist / Brutalist
26,Khalifa Tower,Abu Dhabi,UAE,306,74,2011,Hotel,Contemporary
27,Eureka Tower,Melbourne,Australia,297,91,2006,Residential,Modernist
28,Comcast Technology Center,Philadelphia,USA,342,60,2018,Mixed,Contemporary
29,Federation Tower East,Moscow,Russia,374,97,2017,Mixed,Modernist
30,Suzhou IFS,Suzhou,China,450,98,2019,Mixed,Modernist
31,Skyline Tower,New York,USA,318,67,2022,Residential,Contemporary
32,30 Hudson Yards,New York,USA,387,73,2019,Office,Modernist
33,Uptown Tower,Dubai,UAE,339.5,66,2019,Mixed,Contemporary
34,Northeast Asia Trade Tower,Incheon,South Korea,305,68,2014,Mixed,Modernist
35,Aspire Tower,Doha,Qatar,300,36,2006,Hotel / Restaurant,Contemporary
36,International Commerce Centre,Hong Kong,China,484,108,2010,Mixed,High-tech
37,Torch Tower,Dubai,UAE,337,86,2011,Residential,Contemporary
38,Elite Residence,Dubai,UAE,381,87,2012,Residential,Contemporary
39,Princess Tower,Dubai,UAE,413.4,101,2012,Residential,Contemporary
40,23 Marina,Dubai,UAE,392.8,89,2012,Residential,Contemporary
